Journal Id,Year,Number of Papers published
40,2012,14
40,2017,12
40,2016,12
40,2013,15
40,2015,14
40,2014,14
40,2011,15
41,2002,28
41,1998,14
41,2003,17
41,2012,21
41,2000,24
41,2017,14
41,1996,14
41,2001,3
41,2018,19
41,1999,12
41,2013,28
41,2007,12
41,2010,20
41,2009,18
41,2004,13
41,2005,14
41,2011,13
41,2019,5
41,2008,18
41,2015,17
41,1997,15
41,2016,17
41,2014,17
42,2013,296
42,2016,289
42,2010,251
42,2007,236
42,2019,279
42,2005,234
42,2004,133
42,2015,300
42,2009,279
42,2006,150
42,2008,204
42,2012,278
42,2011,367
42,2017,284
42,2018,242
42,2014,340
43,2018,3
43,2017,2
43,2016,3
43,2019,2
43,2015,7
44,2006,158
44,2012,215
44,1990,23
44,2000,78
44,1996,74
44,1999,68
44,2017,121
44,2008,159
44,1988,39
44,2004,85
44,2018,108
44,2005,112
44,2019,96
44,2013,214
44,2014,189
44,2010,114
44,1997,68
44,2015,116
44,2007,169
44,2009,125
44,1994,67
44,2016,113
44,2011,151
44,1998,64
44,1992,36
44,1987,27
44,1989,30
44,1986,26
44,1993,53
44,2001,61
44,1995,79
44,2003,71
44,1991,30
44,2002,46
44,1985,24
45,2009,25
45,2011,22
45,2008,26
45,2012,21
45,2014,21
45,2016,25
45,2013,19
45,2018,26
45,2017,28
45,2015,21
45,2010,24
45,2019,22
46,2006,26
46,2008,74
46,2005,9
46,2009,68
46,2004,10
46,2007,54
46,2011,53
46,2013,20
46,2010,46
46,2012,13
47,2018,40
47,2017,44
47,2019,41
48,2017,961
48,2018,1105
48,2005,199
48,2008,381
48,2004,183
48,2019,733
48,2016,898
48,2002,168
48,2013,441
48,2007,374
48,2009,511
48,2012,399
48,2001,152
48,2014,430
48,2010,452
48,2006,185
48,2015,534
48,2011,444
48,2000,235
48,2003,161
49,2010,237
50,1978,74
49,2015,216
50,1991,103
50,1993,55
49,2006,209
49,2013,216
50,1998,154
49,2014,212
50,1989,82
50,1975,72
49,2008,228
50,1986,96
50,1992,71
49,2018,148
50,1996,143
50,1980,82
49,2016,229
49,2009,245
49,2005,156
49,2011,209
50,1995,107
50,1990,95
50,1979,91
49,2012,212
49,2017,230
50,1973,70
50,1974,71
49,2001,146
49,2002,154
50,2000,144
49,2003,153
50,1999,156
50,1976,80
49,2007,241
50,1983,68
50,1987,88
50,1985,73
50,1981,72
50,1997,125
50,1988,81
49,2004,153
49,2019,110
50,1994,77
50,1977,67
50,1972,69
50,1984,65
50,1982,73
51,2019,77
51,2018,166
51,2017,110
52,2014,8
52,2018,36
52,2015,18
52,2017,38
52,2016,37
52,2019,10
53,2006,79
53,2008,78
53,2002,56
53,2000,45
53,2003,63
53,2019,45
53,2005,65
53,2014,97
53,2007,73
53,2013,104
53,2017,81
53,2015,86
53,2010,73
53,2009,81
53,2001,45
53,2004,60
53,2016,87
53,2012,83
53,2011,67
53,2018,61
54,2017,19
54,2009,20
54,2013,25
54,2010,10
54,2012,22
54,2016,5
54,2011,15
54,2014,13
54,2018,9
55,2011,21
55,2010,25
55,2012,24
55,2018,19
55,2013,18
55,2005,11
55,2006,17
55,2009,21
55,1999,5
55,2007,13
55,2015,21
55,2016,25
55,1998,9
55,2014,30
55,2003,7
55,2017,28
55,2008,11
55,2002,8
55,2019,5
55,2004,12
55,2000,5
55,2001,3
56,2009,17
56,1994,35
56,2006,20
56,2001,30
56,2015,19
56,2014,24
56,2013,30
56,1992,22
56,1995,21
56,1999,27
56,2011,35
56,1991,52
56,2005,63
56,2004,16
56,1996,22
56,1993,31
56,2012,29
56,2010,23
56,2008,25
56,2002,16
56,2003,25
56,2007,51
56,1997,20
56,2000,14
56,2016,20
56,1998,13
57,2006,28
57,2011,12
57,2009,25
57,2005,43
58,2013,57
58,2004,124
58,2001,123
58,2002,133
58,2011,34
58,2014,52
58,2006,112
58,2019,42
58,2003,97
58,2005,115
58,2012,47
58,2016,50
58,2008,85
58,2007,114
58,2009,44
58,2000,131
58,2018,52
58,2010,50
58,2015,53
58,1999,100
58,2017,51
59,2016,20
59,2017,24
59,2018,33
59,2019,14
59,2015,22
59,2014,7
60,2017,411
60,2011,125
60,2009,102
60,2016,206
60,2019,403
60,2018,576
60,1997,42
60,1993,29
60,2010,114
60,2014,371
60,2002,25
60,2012,246
60,2013,506
60,2007,55
60,1996,25
60,2015,169
60,2004,42
60,2008,61
60,2001,30
60,1995,23
60,1998,38
60,2005,39
60,2000,36
60,2003,39
60,1994,21
60,1999,40
60,2006,38
61,2017,348
61,2007,170
61,1999,100
61,2009,211
61,2015,268
61,2013,277
61,2006,170
61,2005,276
61,2016,217
61,2018,200
61,2011,203
61,2010,167
61,2008,112
61,2014,72
61,2004,93
61,2001,246
61,2019,4
61,2000,97
61,2003,163
61,2002,71
61,2012,38
62,2013,35
62,1995,24
62,1994,20
62,2002,19
62,1993,23
62,2016,55
62,2005,25
62,2017,74
62,1997,31
62,1989,21
62,1990,20
62,1996,24
62,1992,21
62,2010,15
62,2018,57
62,2004,14
62,1998,32
62,1991,22
62,2014,31
62,2006,27
62,2008,21
62,2000,33
62,2015,45
62,2001,20
62,2019,34
62,2003,28
62,1999,30
62,2011,28
62,2012,32
62,2007,16
62,2009,16
63,2007,37
63,2000,29
63,2010,23
63,2004,39
63,1999,14
63,2006,43
63,2008,28
63,2014,15
63,1997,24
63,2013,7
63,2015,11
63,2005,44
63,1998,23
63,2002,27
63,2009,24
63,2017,13
63,2018,20
63,2001,29
63,2003,38
63,2019,11
63,2012,13
63,2016,5
64,2014,10
64,2013,13
64,2017,7
64,2016,9
64,2015,6
64,2018,5
65,2011,26
65,2014,48
65,2015,31
65,2017,23
65,2013,42
65,2018,45
65,2019,14
65,2016,49
65,2012,30
65,2010,20
66,2005,28
67,2014,29
66,2000,30
67,2017,79
67,2019,97
66,1997,34
67,2018,79
66,2006,30
66,2004,31
66,2002,19
66,2003,28
67,2015,35
66,1996,29
67,2013,20
66,1999,31
66,2001,31
67,2016,36
66,2008,33
66,2007,31
66,2009,33
66,1998,48
66,2010,25
66,2011,21
66,2012,6
66,2013,16
68,2018,27
68,2014,21
68,2017,22
68,2019,19
68,2015,21
68,2016,19
68,2013,22
69,2018,138
69,2016,158
69,2007,192
69,2012,165
69,1998,71
69,2004,111
69,1997,87
69,2013,176
69,2006,170
69,2014,186
69,2003,103
69,2009,201
69,2017,158
69,2001,83
69,2011,171
69,2008,204
69,2010,157
69,2015,156
69,1981,40
69,2005,120
69,1995,52
69,1996,96
69,2000,68
69,1992,36
69,1991,50
69,2002,105
69,1999,83
69,1980,31
69,1994,36
69,2019,74
69,1993,38
69,1984,1
69,1990,1
70,2014,721
70,2012,1384
70,2011,1730
70,2010,1034
70,2018,612
70,2017,627
70,2006,165
70,2019,679
70,2009,1397
70,2008,523
70,2005,167
70,2015,794
70,2016,636
70,2013,748
70,2004,113
70,2003,91
70,2007,223
70,2002,59
70,2001,47
71,2015,48
71,2005,16
71,2014,37
71,2004,18
71,2018,71
71,2009,23
71,2010,24
71,2006,22
71,2001,19
71,2016,56
71,2002,18
71,2017,67
71,2019,55
71,2000,25
71,2013,39
71,2012,37
71,2008,21
71,2011,30
71,2007,19
71,2003,22
72,2010,25
72,2018,78
72,2016,70
72,2019,78
72,2015,75
72,2007,31
72,2012,31
72,2005,19
72,2017,66
72,2014,50
72,2006,39
72,2008,6
72,2013,34
72,2009,23
72,2011,31
73,2014,32
73,2013,25
73,2009,9
73,2012,21
73,2011,26
73,2015,45
73,2019,15
73,2008,12
73,2016,40
73,2017,41
73,2010,11
73,2018,27
74,2014,22
74,2011,27
74,2018,32
74,2015,21
74,2012,28
74,2010,29
74,2016,30
74,2019,26
74,2013,26
74,2017,31
75,2016,4
75,2010,15
75,2009,5
75,2012,21
75,2014,9
75,2015,5
75,2011,7
75,2013,6
76,2014,20
76,2012,21
76,2019,15
76,2009,21
76,2018,19
76,2010,19
76,2011,19
76,2016,21
76,2017,19
76,2013,22
76,2015,17
77,2000,32
77,2016,18
77,2005,22
77,2010,22
77,2017,19
77,2007,19
77,2006,22
77,2002,27
77,2004,25
77,2012,22
77,2003,21
77,2018,20
77,2001,24
77,2008,18
77,2009,23
77,2013,22
77,2019,18
77,2014,19
77,1999,20
77,2015,16
77,2011,20
78,2018,77
78,2015,22
78,2016,27
78,2017,23
79,2012,108
79,2005,54
79,2016,166
79,2014,290
79,1997,25
79,2015,151
79,2019,145
79,2018,310
79,2017,329
79,2001,61
79,2006,64
79,2011,104
79,2007,72
79,2010,91
79,1998,37
79,2009,85
79,2004,57
79,2002,53
79,2013,108
79,2008,72
79,2000,42
79,2003,57
79,1999,29
80,2011,20
80,2012,19
80,2018,26
80,2017,26
80,2010,26
80,2009,21
80,2014,20
80,2007,24
80,2016,23
80,2015,21
80,2008,33
80,2019,23
80,2013,15
81,2008,22
81,2006,19
81,1995,16
81,2007,23
81,2015,25
81,2009,22
81,2001,17
81,2019,10
81,2010,20
81,2014,26
81,2011,22
81,1996,18
81,1997,15
81,2004,14
81,1993,22
81,1992,12
81,2005,17
81,2018,22
81,2017,25
81,2002,18
81,1994,16
81,2013,18
81,2000,14
81,1998,16
81,1999,20
81,2012,23
81,2016,24
81,2003,13
81,1991,8
82,2003,35
83,2016,14
83,2008,7
83,2012,10
83,1997,5
83,2011,6
83,2010,13
83,1995,4
83,2014,10
83,2009,3
83,2018,6
83,1999,12
83,2002,2
83,2013,14
83,1998,4
83,1996,6
83,2005,1
83,2017,2
83,2015,4
83,2000,4
83,2006,2
83,2019,1
83,2007,1
84,2010,79
85,2006,42
85,2012,35
85,2017,32
85,2009,37
85,2013,35
85,2004,29
85,2018,35
85,2005,28
85,2008,46
85,2015,33
85,2011,33
85,2014,33
85,2016,33
85,2003,24
85,2007,42
85,2019,23
85,2010,36
86,2016,10
86,2009,23
86,2013,16
86,2010,24
86,2011,18
86,2015,15
86,2014,13
86,2008,12
86,2018,5
86,2019,12
86,2012,14
86,2017,7
87,2006,143
87,2018,219
87,1999,46
87,2002,77
87,2013,236
87,2011,274
87,2012,227
87,2003,60
87,2005,115
87,2017,224
87,2008,196
87,2001,73
87,2007,108
87,2010,215
87,1997,54
87,2016,217
87,2015,233
87,2004,115
87,2009,205
87,2014,226
87,1996,62
87,1998,48
87,1995,30
87,1994,14
87,2000,66
88,2014,19
88,2010,20
88,2017,17
88,2011,20
88,2013,20
88,2012,20
88,2016,16
88,2015,16
89,2006,31
89,2013,60
89,2017,57
89,2008,46
89,2016,52
89,2011,44
89,2005,31
89,2015,63
89,2018,57
89,2012,48
89,2004,33
89,2014,61
89,2009,43
89,2010,46
89,2007,48
89,2019,24
90,2015,35
90,1997,20
90,2008,37
90,2011,28
90,2002,22
90,2017,29
90,2014,25
90,1998,23
90,2016,28
90,2013,14
90,2006,40
90,2012,26
90,2007,32
90,1994,28
90,2019,16
90,1999,18
90,2010,25
90,2009,28
90,2001,26
90,2000,25
90,2018,24
90,2004,29
90,2005,32
90,1995,15
90,2003,26
91,2001,42
91,2003,38
91,1996,35
91,1995,32
91,2005,40
91,2000,38
91,2002,42
91,1998,35
91,1999,36
91,1997,36
91,2004,37
92,2019,958
92,2018,969
92,1997,110
92,1998,124
92,1999,150
92,2001,152
92,2005,202
92,2012,480
92,2017,999
92,2010,438
92,1993,64
92,2015,776
92,2016,766
92,2009,506
92,2013,566
92,2004,163
92,2011,533
92,2014,704
92,2006,192
92,2007,344
92,2020,80
92,1994,83
92,2008,454
92,2000,157
92,1995,88
92,1992,67
92,2003,153
92,1996,77
92,2002,144
93,2012,27
93,2014,23
93,2007,39
93,2017,30
93,2006,39
93,2011,26
93,2008,25
93,2013,30
93,2010,24
93,2002,26
93,2003,24
93,2018,21
93,2004,33
93,2005,32
93,2016,23
93,2001,28
93,2009,30
93,2015,26
93,2019,10
94,2017,38
94,2009,21
94,2013,45
94,2018,52
94,2014,62
94,2019,56
94,2006,61
94,2016,28
94,2007,26
94,2008,10
94,2015,50
94,2004,46
94,2005,42
94,2011,28
94,2012,25
94,2010,22
95,2013,27
95,2014,29
95,2016,23
95,2004,22
95,2015,29
95,2009,18
95,2003,17
95,2012,19
95,2011,20
95,2002,19
95,2007,16
95,2017,30
95,2008,13
95,2019,28
95,2018,42
95,2005,19
95,2001,25
95,2010,20
95,2006,19
96,1994,16
96,1992,14
96,1988,15
96,1993,13
96,1990,11
96,1989,17
96,1995,12
96,1991,14
96,1996,18
97,2008,13
97,2014,18
97,2003,22
98,2015,19
97,2010,15
98,2019,48
98,2016,43
97,2011,21
98,2017,23
97,2013,17
98,2018,27
97,2005,24
97,2009,19
97,2006,22
97,2002,15
97,2004,17
97,2012,18
97,2007,14
99,2011,29
99,2016,33
99,2018,27
99,2003,45
99,2002,55
99,2006,60
99,2013,34
99,2007,52
99,2014,28
99,2009,25
99,2001,16
99,2017,35
99,2019,20
99,2004,42
99,2015,33
99,2005,53
99,2008,26
99,2010,22
99,2012,33
100,2010,20
100,2012,21
100,2013,12
100,2018,12
100,2009,15
100,2015,12
100,2011,15
100,2019,6
100,2017,11
100,2014,13
100,2016,11
101,2017,32
101,2018,52
101,2015,26
101,2016,20
101,2014,17
101,2019,21
102,2017,53
102,2019,58
102,2016,50
102,2012,39
102,2018,67
102,2013,41
102,2007,22
102,2015,44
102,2011,26
102,2014,37
102,2010,35
102,2008,15
102,2009,14
103,2008,34
103,2002,36
103,2013,35
103,2017,29
103,2007,31
103,2003,22
103,2012,36
103,2009,31
103,2005,44
103,2010,40
103,2014,31
103,2015,29
103,2006,28
103,2011,40
103,2016,31
103,2004,25
103,2018,5
103,2001,17
104,2007,15
104,2011,7
104,1998,18
104,2014,8
104,2012,10
104,2010,12
104,2003,13
104,2006,17
104,1993,6
104,2001,9
104,2018,12
104,1995,12
104,1999,7
104,2013,7
104,1997,14
104,2008,8
104,2019,3
104,2005,21
104,1992,7
104,2002,16
104,1990,6
104,2009,9
104,2017,14
104,1991,6
104,1996,13
104,2016,11
104,2000,9
104,2015,3
104,1994,12
104,2004,7
104,1989,7
105,2014,69
105,2015,69
105,2009,55
105,2012,75
105,2016,65
105,2018,61
105,2008,52
105,2017,60
105,2007,46
105,2010,60
105,2011,61
105,2013,67
105,2019,30
106,2018,933
106,2015,518
106,2019,675
106,2013,180
106,2016,633
106,1993,31
106,2014,549
106,2017,738
106,2006,52
106,2010,37
106,2007,44
106,2002,34
106,1996,26
106,1997,30
106,2000,37
106,1994,30
106,2001,27
106,2003,25
106,2009,21
106,2008,35
106,2004,23
106,1995,30
106,2005,32
106,1998,37
106,1999,29
106,2012,32
106,2011,20
107,2008,298
107,2016,280
107,2011,269
107,2014,260
107,2010,253
107,2009,337
107,2018,315
107,2015,269
107,2012,278
107,2013,275
107,2007,298
107,2017,279
107,2019,228
108,2005,20
108,2016,71
108,2008,45
108,2012,56
108,2011,39
108,2013,61
108,2015,51
108,2017,51
108,2019,47
108,2014,61
108,2018,90
108,2010,30
108,2007,27
108,2009,14
108,2006,18
109,2016,65
109,2011,51
109,2017,62
109,2008,27
109,2010,35
109,2012,32
109,2019,45
109,2015,31
109,2007,34
109,2013,32
109,2009,32
109,2018,48
109,2014,35
110,2017,21
110,2011,20
110,2015,23
110,2014,26
110,2018,24
110,2009,8
110,2012,17
110,2019,17
110,2008,12
110,2013,19
110,2016,22
110,2010,8
111,1986,14
111,1989,18
112,2004,9
112,2007,14
112,2006,18
112,2002,12
112,2009,18
112,2012,15
112,2016,33
112,2008,17
112,2014,28
112,2019,26
112,2018,60
112,2010,15
112,2017,41
112,2015,40
112,2003,7
112,2011,14
112,2013,18
112,2005,2
113,2011,44
113,2000,39
113,2006,46
113,2007,53
113,2018,70
113,2008,56
113,2016,68
113,2015,82
113,2003,35
113,1998,52
113,2010,50
113,2005,43
113,1999,14
113,2004,41
113,2019,39
113,2017,65
113,2014,70
113,2013,47
113,2001,33
113,2002,32
113,2009,66
113,2012,41
114,2012,27
114,2010,31
114,2003,91
114,2004,11
114,2018,12
114,2017,16
114,2002,21
114,2011,8
114,2006,22
114,2015,11
114,2007,12
114,2013,13
114,2014,13
114,2005,12
114,2016,7
114,2008,14
114,2009,14
115,2013,11
115,2012,12
115,2014,13
115,2016,16
115,2017,14
115,2015,14
115,2019,11
115,2018,13
116,2009,12
116,1992,22
116,2013,23
116,1993,21
116,1994,21
116,2011,13
116,2005,19
116,2018,16
116,2000,20
116,1996,18
116,1998,16
116,1999,13
116,2012,14
116,2007,20
116,2010,6
116,2004,19
116,2017,15
116,2001,23
116,2014,19
116,2006,27
116,2019,7
116,2008,20
116,2016,16
116,1995,19
116,2015,14
116,2002,17
116,2003,18
116,1997,16
117,2020,20
118,2015,5
118,2018,7
118,2012,13
118,2011,9
118,2019,4
118,2016,4
118,2017,7
118,2014,10
118,2013,9
119,2015,22
119,1996,17
119,2018,11
119,2004,11
119,2009,22
119,2002,14
119,2011,28
119,2016,22
119,2017,22
119,1998,15
119,2005,16
119,2014,22
119,2001,14
119,1994,14
119,2013,22
119,2006,15
119,2000,7
119,2010,19
119,1999,14
119,2008,21
119,2007,15
119,1995,22
119,2012,23
120,2019,41
120,2016,14
120,2017,25
120,2018,42
120,2015,19
120,2012,37
120,2013,28
120,2014,26
120,2011,46
121,2018,24
121,2013,20
121,2014,14
121,2011,28
121,2015,27
121,2012,33
121,2016,9
121,2017,19
121,2019,18
121,2010,13
122,2019,54
123,2009,38
124,2000,36
122,2018,58
123,2008,40
123,2012,43
123,2010,49
124,1985,18
124,1996,41
124,1999,41
124,1987,19
123,2005,35
123,2011,26
124,1991,28
122,2014,28
123,2007,37
124,1997,39
123,2006,27
124,1992,44
124,1989,22
124,1984,19
122,2016,66
123,2003,15
124,1990,28
123,2001,9
122,2015,49
124,1993,39
123,2004,21
122,2017,63
124,1998,33
123,2002,17
124,1994,32
123,2013,17
124,1995,32
123,2014,4
124,1988,13
124,1986,18
125,2014,16
125,2012,16
125,2011,15
125,2010,16
125,2003,11
125,1998,14
125,1999,10
125,2006,12
125,2002,16
125,2005,17
125,2008,13
125,2017,24
125,1995,13
125,2013,13
125,2000,15
125,2007,16
125,2009,12
125,2004,16
125,1988,15
125,1992,15
125,1996,11
125,2015,17
125,2018,20
125,2016,22
125,2019,10
125,1991,19
125,1990,20
125,2001,12
125,1997,13
125,1993,13
125,1994,16
126,2014,35
126,2012,53
126,2010,36
126,2018,31
126,2019,25
126,2015,41
126,2013,49
126,2006,30
126,2008,41
126,2009,37
126,2017,30
126,2011,35
126,2016,36
126,2007,33
127,2010,233
127,2007,42
127,2008,43
127,2009,61
127,2006,13
128,2017,25
128,2018,23
128,2016,18
128,2010,13
128,2009,15
128,2015,29
128,2008,12
128,2012,8
128,2011,10
128,2014,5
128,2019,9
128,2013,7
129,2017,18
129,2012,21
129,2013,26
129,2019,12
129,2010,25
129,2015,19
129,2011,21
129,2014,24
129,2018,20
129,2016,17
130,2018,15
130,2016,16
130,2017,10
130,2015,8
130,2019,6
131,2004,48
131,2006,54
131,2019,53
131,2002,37
131,2005,73
131,2012,109
131,2008,63
131,2013,75
131,2009,94
131,1999,35
131,2016,73
131,2014,94
131,2007,67
131,2001,41
131,2018,61
131,2011,77
131,2017,58
131,2003,47
131,2010,68
131,2000,33
131,2015,63
131,1998,37
132,2009,185
132,2005,145
132,2019,201
132,2018,248
132,2012,198
132,2016,229
132,2017,230
132,2015,216
132,1995,79
132,2006,142
132,2008,160
132,2011,178
132,2002,162
132,2000,118
132,2010,168
132,2001,132
132,1999,111
132,2013,181
132,2014,188
132,1996,85
132,1994,73
132,1992,65
132,2007,149
132,1997,97
132,2004,144
132,1993,94
132,1998,115
132,2003,147
133,1990,14
133,1994,11
133,1993,9
133,1989,14
133,1992,9
133,1991,10
134,2013,13
134,2006,15
134,2002,15
134,2015,26
134,2004,16
134,2014,16
134,2009,16
134,2016,15
134,2007,14
134,2019,7
134,2005,16
134,2008,14
134,2010,15
134,2017,13
134,2001,15
134,2011,14
134,2003,15
134,2012,17
134,2018,12
135,1998,51
135,2016,36
135,2000,49
135,1999,54
135,2007,37
135,2003,59
135,2001,56
135,2006,52
135,2017,36
135,2009,33
135,1996,51
135,2002,101
135,2004,47
135,2014,49
135,2013,39
135,2010,38
135,2011,39
135,2012,39
135,1997,58
135,2015,52
135,1995,19
135,2005,57
135,2008,30
136,2002,43
137,1984,45
136,2003,41
136,2011,38
136,2015,41
136,2013,41
136,2017,27
136,1998,33
136,1990,41
137,1982,43
136,2005,34
136,1988,34
136,1994,34
136,1991,34
136,2010,47
136,1993,46
136,1987,36
136,2004,34
136,2016,45
136,2000,35
137,1978,14
136,2008,41
136,2007,37
136,2012,45
136,1999,35
136,2009,42
136,2006,41
137,1985,41
136,2001,41
137,1986,33
137,1983,46
137,1979,12
136,2014,36
136,2018,38
136,1989,36
136,1996,30
136,1997,25
136,2019,10
136,1992,17
137,1977,22
137,1981,15
136,1995,27
138,2018,327
138,1993,129
138,1996,117
138,2019,190
138,2008,122
138,2015,228
138,2005,129
138,1997,130
138,2017,304
138,2012,196
138,2000,152
138,2003,88
138,1998,158
138,2014,246
138,1999,172
138,2016,312
138,2001,140
138,2002,127
138,2006,138
138,2004,104
138,2010,167
138,2009,128
138,1991,90
138,1984,41
138,2013,201
138,1995,117
138,2011,162
138,1992,126
138,1994,140
138,2007,125
139,2015,15
139,2001,16
139,2010,9
139,1999,21
139,2000,17
139,2018,15
139,2017,14
139,2004,20
139,2016,15
139,2006,11
139,1998,18
139,1996,17
139,2009,17
139,1997,21
139,2002,20
139,2005,17
139,2019,10
139,2012,14
139,2014,13
139,2013,12
139,2007,8
139,2011,11
140,2019,48
140,2018,68
140,2011,35
140,2010,41
140,2007,43
140,2015,75
140,2016,73
140,2014,51
140,2017,70
140,2009,42
140,2013,46
140,2012,42
140,2006,23
140,2008,48
141,2012,18
141,2013,11
141,2019,5
141,2018,4
142,2015,34
143,2000,39
143,2005,30
143,2004,38
143,1998,31
143,2010,53
142,2014,12
143,2008,40
143,2013,35
142,2016,30
143,2003,64
142,2017,28
143,2009,38
143,2014,23
143,2011,27
143,2001,21
142,2018,38
143,2007,35
143,2012,33
143,1997,18
143,1999,31
143,2002,48
143,2006,32
144,2012,21
144,2011,41
144,2018,48
144,2016,22
144,2015,32
144,2014,22
144,2017,21
144,2013,13
144,2019,21
144,2010,28
144,2009,5
145,2011,49
145,2015,41
145,2013,53
145,2016,67
145,2012,41
145,2014,58
145,2018,25
145,2019,13
145,2017,58
145,2010,18
146,2019,38
146,2015,26
146,2013,29
146,2009,23
146,2017,32
146,2011,28
146,2014,27
146,2018,35
146,2012,26
146,2016,29
146,2005,7
147,2019,41
147,2006,22
147,2018,43
147,2016,38
147,2009,31
147,2014,35
147,2007,28
147,2013,27
147,2010,26
147,2017,37
147,2015,39
147,2011,26
147,2004,22
147,2008,24
147,2001,5
147,2005,22
147,2003,9
147,2002,10
147,2012,29
148,2010,20
148,2017,12
148,2014,8
148,2011,16
148,2015,8
148,2012,16
