title,year,forid,,,,
A study of the impact of structure on cooperation in networks.,2011,899,,,,
An intelligent speech interface for personal assistants applied to knowledge management.,2005,899,,,,
Special issue on big data for IoT cloud computing convergence.,2019,899,,,,
Concept abduction and contraction in semantic based P2P environments.,2011,899,,,,
VisiQ: Supporting visual and interactive query refinement.,2007,899,,,,
"Real time, scalable, content based Twitter users recommendation.",2016,899,,,,
State of the art of reputation enhanced recommender systems.,2018,899,,,,
A fast optimal node locating algorithm for MIMO system communication based on link balance control.,2019,899,,,,
Design considerations for a CORBA based architecture for lightweight agents (CARLA).,2003,899,,,,
pRoute: Peer selection using shared term similarity matrices.,2007,899,,,,
Learning the IPA market with individual and social rewards.,2009,899,,,,
Temporal multi page summarization.,2006,899,,,,
Research dataset discovery from research publications using web context.,2017,899,,,,
DIKEA: Exploiting Wikipedia for keyphrase extraction.,2015,899,,,,
Defending against distributed denial of service attacks with an auction based method.,2006,899,,,,
Combining multidimensional user models and knowledge representation and management techniques for making web services knowledge aware.,2006,899,,,,
Higher mathematics teaching resource scheduling system based on cloud computing.,2019,899,,,,
FICA: A novel intelligent crawling algorithm based on reinforcement learning.,2009,899,,,,
Norm emergence in agent societies formed by dynamically changing networks.,2009,899,,,,
Sentiment analysis of texts by capturing underlying sentiment patterns.,2015,899,,,,
The price of stability in selfish scheduling games.,2009,899,,,,
Complex semantic web ontology mapping.,2003,899,,,,
Information need driven query refinement.,2005,899,,,,
Evaluating the applicability of peer designed agents for mechanism evaluation.,2014,899,,,,
A fuzzy attitude based bidding strategy in continuous double auctions.,2012,899,,,,
Website user content navigation behavior modeling using time series neural networks.,2019,899,,,,
Top N recommendations in the presence of sparsity: An NCD based approach.,2015,899,,,,
Web directories as a knowledge base to build a multi agent system for information sharing.,2004,899,,,,
"Collective iterative allocation: Enabling fast and optimal group decision makingThe role of group knowledge, optimism, and decision policies in distributed coordination.",2010,899,,,,
An XML based agent model for supporting user activities on the Web.,2006,899,,,,
A default extension to distributed description logics.,2006,899,,,,
Bricking Semantic Wikipedia by relation population and predicate suggestion.,2012,899,,,,
ForMAAD: A formal method for agent based application design.,2007,899,,,,
Bimodal traffic regulation system: A multi agent approach.,2016,899,,,,
A topical diversity based approach to detecting similar question groups from collaborative question answering archives.,2016,899,,,,
An intelligent Web agent that autonomously learns how to translate.,2012,899,,,,
Estimating the size and evolution of categorised topics in web directories.,2010,899,,,,
Two phase Web site classification based on Hidden Markov Tree models.,2004,899,,,,
Meta agency and individual power.,2009,899,,,,
Improving observation based modeling of other agents using tentative stereotyping and compactification through kd tree structuring.,2006,899,,,,
Mining heterogeneous terrorist attack network using personalized PageRank.,2018,899,,,,
Context sensitive filtering for the web.,2003,899,,,,
A web based bayesian intelligent tutoring system for computer programming.,2006,899,,,,
Delegations guided by trust and autonomy.,2008,899,,,,
Interval set clustering of web users using modified Kohonen self organizing maps based on the properties of rough sets.,2004,899,,,,
Gradient descent for symmetric and asymmetric multiagent reinforcement learning.,2005,899,,,,
Optimal combinatorial electricity markets.,2008,899,,,,
Social control in a normative framework: An adaptive deterrence approach.,2011,899,,,,
Large scale cooperative task distribution on peer to peer networks.,2013,899,,,,
A web information system for determining the controllers of financial entities in central bank of Brazil.,2006,899,,,,
Wrapping VRXQuery with self adaptive fuzzy capabilities.,2009,899,,,,
Handling privacy as contextual integrity in decentralized virtual communities: The PrivaCIAS framework.,2012,899,,,,
Emotion and attention: Audiovisual models for group level skin response recognition in short movies.,2019,899,,,,
Mining the information architecture of the WWW using automated website boundary detection.,2017,899,,,,
Real time cooperative multi target tracking by dense communication among Active Vision Agents.,2007,899,,,,
SimPaD: A word similarity sentence based plagiarism detection tool on Web documents.,2011,899,,,,
Structure aware graph anonymization.,2012,899,,,,
A computing approach to agent bidding in continuous double auction.,2013,899,,,,
Cooperation strategies for agent based P2P systems.,2003,899,,,,
Accurate and efficient query clustering via top ranked search results.,2016,899,,,,
WSIPL: An XML scripting language for integrating web service data and applications.,2006,899,,,,
Personalisation in news delivery systems: Item summarization and multi tier item selection using relevance feedback.,2005,899,,,,
Application of rough ensemble classifier to web services categorization and focused crawling.,2010,899,,,,
Fuzzy neural Web agents for efficient NBA scouting.,2008,899,,,,
Towards a conversation driven composition of web services.,2004,899,,,,
Directional prediction of stock prices using breaking news on Twitter.,2017,899,,,,
Decision as choice of potential intentions.,2014,899,,,,
Special issue: Mobile web data analytics (part II).,2018,899,,,,
Hybrid negotiation for resource coordination in multiagent systems.,2005,899,,,,
Usability in mobile interface browsing.,2006,899,,,,
Using multiagent self organization techniques for seeking information in virtual social communities.,2012,899,,,,
Sequential multi agent exploration for a common goal.,2013,899,,,,
Neural networks against genetic algorithms for negotiating agent behaviour prediction.,2008,899,,,,
Privacy preserving agent based distributed data clustering.,2006,899,,,,
Let's dans! An analytic framework of negotiation dynamics and strategies.,2011,899,,,,
A novel ant clustering algorithm based on cellular automata.,2007,899,,,,
A graph based approach for resolving incoherent ontology mappings.,2018,899,,,,
Timed environment for web agents.,2007,899,,,,
Social oriented engineering of intelligent software.,2007,899,,,,
Concordance based entity oriented search.,2009,899,,,,
An interaction based approach to detecting highly interactive Twitter communities using tweeting links.,2016,899,,,,
Fluctuated peer selection policy and its performance in large scale multi agent systems.,2010,899,,,,
Information extraction and imprecise query answering from web documents.,2006,899,,,,
A resource based framework for planning and replanning.,2003,899,,,,
Encoding process algebraic descriptions of web services into BPEL.,2007,899,,,,
Emotion Sensitive News Agent (ESNA): A system for user centric emotion sensing from the news.,2010,899,,,,
Fuzzy Q Learning with the modified fuzzy ART neural network.,2007,899,,,,
Paraconsistent argumentation schemes.,2016,899,,,,
Evaluation of properties in the transition of capability based agent organization.,2009,899,,,,
Assumption based reasoning in dynamic normative agent systems.,2010,899,,,,
Tracking reliability and helpfulness in agent interactions.,2007,899,,,,
Identifying a hierarchy of bipartite subgraphs for web site abstraction.,2007,899,,,,
A normal distribution based rating aggregation method for generating product reputations.,2015,899,,,,
A general framework for parallel BDI agents in dynamic environments.,2008,899,,,,
Web usage mining based recommender systems using implicit heterogeneous data:   A Particle Swarm Optimization based clustering approach.,2014,899,,,,
Hot time periods discovery for facility proportioning in urban commercial districts using POIs and mobile phone data.,2018,899,,,,
Utility based Q learning to facilitate cooperation in Prisoner's Dilemma games.,2009,899,,,,
Generating SPARQL queries using templates.,2013,899,,,,
Automatic generation of visual story for fairy tales with digital narrative.,2015,899,,,,
Life aspect inference of tweets based on probability distribution.,2017,899,,,,
Context sensitive text mining and belief revision for intelligent information retrieval on the web.,2003,899,,,,
Automatic domain terminology extraction and its evaluation for domain knowledge graph construction.,2018,899,,,,
Multi agent approach to localization problems: The case of Multilayered Multi Agent Situated System.,2004,899,,,,
Speech emotion recognition of Chinese elderly people.,2018,899,,,,
A task oriented agent based mechanism for mathematical assistant systems.,2004,899,,,,
Monitoring the status of a research community through a Knowledge Map.,2008,899,,,,
Simplification and analysis of transitive trust networks.,2006,899,,,,
sslGolog: When conditional compositions of web services meet semantic links and causal laws.,2011,899,,,,
Building application ontologies from descriptions of Semantic Web Services.,2009,899,,,,
Design of complex wind power generation parameter control system based on embedded control combined with Internet of Things.,2019,899,,,,
From social power to social importance.,2007,899,,,,
On the emergence of semantic agreement among rational agents.,2015,899,,,,
Gen Meta: Generating metaphors by combining AI and corpus based modeling.,2015,899,,,,
Stochastic gradient descent with variance reduction technique.,2018,899,,,,
WSMO MX: A hybrid Semantic Web service matchmaker.,2009,899,,,,
An improved Bayesian network structure learning algorithm and its application in an intelligent B2C portal.,2007,899,,,,
Personalized redirection and content adaptation for increased user control of communications.,2007,899,,,,
Abstraction relations between internal and behavioural agent models for collective decision making.,2012,899,,,,
Self configuration protocols for P2P networks.,2006,899,,,,
Enriching how to guides with actionable phrases and linked data.,2017,899,,,,
Special issue: Mobile Web Data Analytics (part I).,2018,899,,,,
Using interaction models to detect and resolve inconsistencies in evolving service compositions.,2009,899,,,,
Reinforcement social learning of social optimality with influencer agents.,2015,899,,,,
Text mining in negative relevance feedback.,2012,899,,,,
Web search engine working as a bee hive.,2008,899,,,,
Performance evaluation of Twitter datasets on SQL and NoSQL DBMS.,2016,899,,,,
Modelling personal preferences for Top N movie recommendations.,2014,899,,,,
Semantic based collaborative P2P in ubiquitous computing.,2007,899,,,,
Fuzzy adaptive agent for supply chain management.,2009,899,,,,
Modelling meme adoption pattern on online social networks.,2019,899,,,,
Semantic web based learning styles identification for social learning environments personalization.,2015,899,,,,
Layered RDF: An object oriented approach to web information representation.,2009,899,,,,
A topic based sentiment analysis model to predict stock market price movement using Weibo mood.,2016,899,,,,
Dynamic multiagent load balancing using distributed constraint optimization techniques.,2014,899,,,,
Model identification in interactive influence diagrams using mutual information.,2010,899,,,,
Relation discovery from web data for competency management.,2007,899,,,,
Anonymity services for multi agent systems.,2010,899,,,,
Sentiment analysis of Kazakh text and their polarity.,2019,899,,,,
Overlapping community detection and temporal analysis on Q&A sites.,2017,899,,,,
Itinerary determination of imprecise mobile agents with firm deadline.,2008,899,,,,
Generic command interpretation algorithms for conversational agents.,2008,899,,,,
Negative trust for conflict resolution in software management.,2018,899,,,,
Scalable approximating SVD algorithm for recommender systems.,2014,899,,,,
Configuration and control design model for an agent based Flexible Distributed System.,2011,899,,,,
Improving cognitive agent decision making: Experience trajectories as plans.,2014,899,,,,
A method for avoiding the searching bias in ACO deceptive problem solving.,2014,899,,,,
Applying ontologies to the development and execution of Multi Agent Systems.,2017,899,,,,
Representing privacy regulations with deontico temporal operators.,2011,899,,,,
An automatic approach for tagging Web services using machine learning techniques.,2016,899,,,,
An experimental analysis of suggestions in collaborative tagging.,2013,899,,,,
A composite greedy seller strategy in decentralized many to many negotiation.,2017,899,,,,
Transferring sentiment knowledge between words and tweets.,2018,899,,,,
Automatic detection of multiple account deception in social media.,2017,899,,,,
HITS algorithm improvement using semantic text portion.,2010,899,,,,
Activity based topic discovery.,2014,899,,,,
Incentivizing connectivity in structured Peer to Peer systems.,2010,899,,,,
Learning and relearning of target decision strategies in continuous coordinated cleaning tasks with shallow coordination.,2015,899,,,,
Full discrimination of subtopics in search results with keyphrase based clustering.,2011,899,,,,
Leveraging social network analysis with topic models and the Semantic Web (extended).,2013,899,,,,
A layered approach to complex negotiations.,2004,899,,,,
A cognitive approach to web based intelligent agents: The TRIPLE architecture.,2011,899,,,,
XICOMAS_Q: An XML based Information Content Oriented Multi Agent System for QoS management in telecommunications networks.,2004,899,,,,
Ontology based integration of business intelligence.,2006,899,,,,
A compositional framework for the specification of interaction protocols in multiagent organizations.,2007,899,,,,
A semi supervised efficient learning approach to extract biological relationships from web based biomedical digital library.,2006,899,,,,
Editorial.,2015,899,,,,
Information categorization in web pages and sites.,2005,899,,,,
Tools for analyzing intelligent agent systems.,2008,899,,,,
Enhancing communication with groups of agents using learned non unanimous ontology concepts.,2009,899,,,,
Formal semantics preserving translation from fuzzy ER model to fuzzy OWL DL ontology.,2010,899,,,,
Information needs in agent teamwork.,2004,899,,,,
Personalized search in digital libraries via spreading activation model.,2013,899,,,,
Using online data sources to make query suggestions for children.,2017,899,,,,
On virtual agents that regulate each other's emotions.,2011,899,,,,
Modeling user hidden navigational behavior for Web recommendation.,2011,899,,,,
Programming mobile intelligent agents: An operational semantics.,2007,899,,,,
A syntactic possibilistic belief change operator: Theory and empirical study.,2014,899,,,,
Special issue on knowledge management of web social media.,2016,899,,,,
Many is more: The utility of simple reactive agents with predictive mechanisms in multiagent object collection tasks.,2005,899,,,,
Modelling biased human trust dynamics.,2013,899,,,,
Symbolic negotiation: Partial deduction for linear logic with coalition formation.,2008,899,,,,
Review of intelligent microblog short text processing.,2016,899,,,,
Modeling emergent network organizations.,2014,899,,,,
Building agent based hybrid intelligent systems: A case study.,2007,899,,,,
Minimization of decoy effects in recommender result sets.,2012,899,,,,
A knowledge based model using ontologies for personalized web information gathering.,2010,899,,,,
An interview with Professor Raj Reddy on Web Intelligence (WI) and Computational Social Science (CSS).,2018,899,,,,
A task scheduling algorithm based on priority list and task duplication in cloud computing environment.,2019,899,,,,
Trust based web service selection in virtual communities.,2011,899,,,,
Pancake graphs for lookup acceleration and optimization in P2P networks.,2018,899,,,,
Learning subsumption hierarchies of ontology concepts from texts.,2010,899,,,,
Improving agent interoperability via the automatic enrichment of multi category ontologies.,2011,899,,,,
"Intelligent interaction, reasoning, and applications.",2015,899,,,,
Multi agent orienteering problem with time dependent capacity constraints.,2014,899,,,,
Towards a systematic approach for designing autonomic systems.,2010,899,,,,
Querying concepts in product data by means of query expansion.,2014,899,,,,
Visualizing the relevance of social ties in user profile modeling.,2012,899,,,,
Ontology construction and concept reuse with formal concept analysis for improved web document retrieval.,2007,899,,,,
Predicting personality traits of microblog users.,2014,899,,,,
A hybrid plan recognition model for Alzheimer's patients: Interleaved erroneous dilemma.,2009,899,,,,
Adaptiveness and social compliance in trust management within virtual communities.,2013,899,,,,
State space segmentation for acquisition of agent behavior.,2008,899,,,,
Trip mode recognition using smartphone sensor data under different sampling frequencies.,2019,899,,,,
Computational Intelligence techniques for Web personalization.,2008,899,,,,
An adaptive approach for the determination of the itinerary of imprecise mobile agents with timing constraints.,2011,899,,,,
Foundations of automatic system for intrasurgical localization of subthalamic nucleus in Parkinson patients.,2014,899,,,,
Acknowledgment.,2013,899,,,,
SERGEANT: A framework for building more flexible web agents by exploiting a search engine.,2005,899,,,,
Agents handling annotation distribution in a corporate semantic Web.,2003,899,,,,
Music recommenders based on hybrid techniques and serendipity.,2014,899,,,,
Asymmetric multiagent reinforcement learning.,2004,899,,,,
A survey of agent oriented programming from software engineering perspective.,2017,899,,,,
Properties of a new adaptive sampling method with applications to scalable learning.,2015,899,,,,
A bottom up search algorithm for size constrained partitioning of modules to generate configurations in modular robots.,2016,899,,,,
The ACORN multi agent system.,2003,899,,,,
Card type tool to support divergent thinking for embodying benefits of inconvenience.,2015,899,,,,
A model for the behaviors and incentives of users in a decentralized data sharing network.,2017,899,,,,
Social media gerontology: Understanding social media usage among older adults.,2015,899,,,,
Collaborative ensemble learning under differential privacy.,2018,899,,,,
"A multi agent system integrating reinforcement learning, bidding and genetic algorithms.",2003,899,,,,
Considering operational issues for multiagent conceptual inferencing in a distributed information retrieval application.,2008,899,,,,
A distributed multi agent planning approach for automated web services composition.,2012,899,,,,
COBRA   mining web for COrporate Brand and Reputation Analysis.,2009,899,,,,
Towards better understanding and utilizing relations in DBpedia.,2012,899,,,,
Survival of the Assistive. Toward biomimetic ambient intelligence.,2005,899,,,,
"Information security underlying transparent computing: Impacts, visions and challenges.",2010,899,,,,
Combine availability with user preferences for efficient WSC.,2019,899,,,,
A lightweight fault tolerance framework for Web services.,2009,899,,,,
A complex adaptive system based on squirrels behaviors for distributed resource allocation.,2006,899,,,,
Towards a formalization of value centric trust in agent societies.,2004,899,,,,
Auction Network Trust: Evaluating user reputations from trading relationships in electronic commerce networks.,2012,899,,,,
RoClust: Role discovery for graph clustering.,2013,899,,,,
Stochastic Petri net based modeling and formal analysis of fault tolerant Contract Net Protocol.,2016,899,,,,
"Investigating adaptive, confidence based strategic negotiations in complex multiagent environments.",2008,899,,,,
Mechanism design for multi agent meeting scheduling.,2006,899,,,,
"An extended agent model embedded with ""intelligent deliberation"" for improved performances in a container terminal application.",2006,899,,,,
Embodiment of an agent by anthropomorphization of a common object.,2012,899,,,,
Building more robust multi agent systems using a log based approach.,2009,899,,,,
Learning the sentiment of soccer fans from data on bets and social nets.,2017,899,,,,
A method for solving distributed service allocation problems.,2003,899,,,,
Detecting depression from Internet behaviors by time frequency features.,2019,899,,,,
Modeling agents with a theory of mind: Theory theory versus simulation theory.,2012,899,,,,
A study on dynamic Semantic Web service composition.,2013,899,,,,
CAMF: Context Aware Matrix Factorization for Social Recommendation.,2018,899,,,,
Mining personal experiences and opinions from Web documents.,2011,899,,,,
Uncertainty reasoning for smart homes: An ontological decision network based approach.,2016,899,,,,
Multi party communication and information need anticipation by experience.,2007,899,,,,
Introducing Web Intelligence for communities.,2012,899,,,,
A framework for evaluating semantic annotations of Web services: A network theory based approach for measuring annotation quality.,2014,899,,,,
Acknowledgment.,2012,899,,,,
Roles in social networks: Methodologies and research issues.,2012,899,,,,
uGait: A platform for automated quantitative gait analysis and its application to Parkinson's disease.,2018,899,,,,
Interplay of ethical trust and social moral norms: Environment modelling and computational mechanisms in agent based social simulation (ABSS).,2011,899,,,,
Dynamic self organizing maps for discovery and sharing of knowledge in multi agent systems.,2005,899,,,,
Emergence of coordination in scale free networks.,2003,899,,,,
Improvement of fusion algorithm using cascade method and implementation on proxy server for replacing negative content on a porn site.,2018,899,,,,
An intelligent recommender system based on predictive analysis in telehealthcare environment.,2016,899,,,,
Clustering web pages about persons and organizations.,2005,899,,,,
Designing Grid services for distributed knowledge discovery.,2003,899,,,,
Organizational models and interaction patterns for use in the analysis and design of multi agent systems.,2005,899,,,,
On data fusion in information retrieval using different aggregation operators.,2011,899,,,,
Using multi agent platform for pure decentralised business workflows.,2008,899,,,,
Improving collaborative filtering recommender system results and performance using satisfaction degree and emotions of users.,2019,899,,,,
Discovering implicit communities in Web forums through ontologies.,2012,899,,,,
Multi label automatic indexing of music by cascade classifiers.,2013,899,,,,
Emotional machines: The next revolution.,2019,899,,,,
Paraconsistent query answering over DL Lite ontologies.,2012,899,,,,
World Wide Web site summarization.,2004,899,,,,
TSSP: Multi features based reinforcement algorithm to find related papers.,2006,899,,,,
Energy efficient opportunistic edge computing for the Internet of Things.,2019,899,,,,
IR based Task Model Learning: Automating the hierarchical structuring of tasks.,2016,899,,,,
Forming and searching content based hierarchical agent clusters in distributed information retrieval systems.,2006,899,,,,
A unified framework for multiple criteria auction mechanisms.,2008,899,,,,
Ontology based personalized search and browsing.,2003,899,,,,
A modular architecture for intelligent agents in the evented web.,2017,899,,,,
Predicting community preference of comments on the Social Web.,2012,899,,,,
A Point of Interest recommendation method using user similarity.,2018,899,,,,
Determining senior wellness status using an intelligent system based on wireless sensor network and bioinformation.,2018,899,,,,
A multiagent architecture for controlling the Palamede satellite.,2010,899,,,,
A BDI based agent architecture for social competent agents.,2015,899,,,,
Quality improvement by worker filtering and development in crowdsourcing.,2016,899,,,,
Composite match autocompletion (COMMA): A semantic result oriented autocompletion technique for e marketplaces.,2014,899,,,,
Interval rough mereology and description logic: An approach to formal treatment of imprecision in the Semantic Web ontologies.,2008,899,,,,
Exploring local community structures in large networks.,2008,899,,,,
On the enhancement of collaborative filtering by demographic data.,2006,899,,,,
Utilization of intelligent agents for supporting citizens in their access to e government services.,2007,899,,,,
The construction of secure mobile agents via evaluating encrypted functions.,2004,899,,,,
Learning when and how to coordinate.,2003,899,,,,
Towards adaptive normative systems for communities of agents.,2013,899,,,,
Content tracking by leveraging hashtag and time information in Twitter social media.,2018,899,,,,
The strategy and architecture of a winner broker in a renowned agent based smart grid competition.,2017,899,,,,
"Design, implementation and run time evolution of a mission based multiagent system.",2007,899,,,,
Robust distributed scheduling via time period aggregation.,2012,899,,,,
A study on rough set aided feature selection for automatic web page classification.,2006,899,,,,
"Tribute to Andy Sage, and a new taxonomy of model attributes.",2015,806,,,,
General systems performance theory and its application to understanding complex system performance.,2011,806,,,,
Identifying requirement attributes for materiel and non materiel solution sets utilizing discrete choice models.,2015,806,,,,
Telecommuting and corporate culture: Implications for the mobile enterprise.,2008,806,,,,
The strategic value of enterprise mobility: Case study insights.,2008,806,,,,
Web Enabled Legal Aid.,2000,806,,,,
Integration maturity metrics: Development of an integration readiness level.,2010,806,,,,
Protecting data on mobile devices: A taxonomy of security threats to mobile computing and review of applicable defenses.,2008,806,,,,
Anticipating Policy Implications of Emerging Information Technologies.,2004,806,,,,
Barriers to change in engineering the system of health care delivery.,2009,806,,,,
A System Fault Risk Framework for cyber attack classification.,2006,806,,,,
Competencies Development Framework Based on Best Practices.,2004,806,,,,
The role of service oriented architectures in systems engineering.,2010,806,,,,
A perspective on the changing nature of R&D investment and collaboration in the Asian Pacific.,2015,806,,,,
Institutional Change Affecting Engineering Education in Japan ~ A Model and Empirical Analysis of Competence Building.,2004,806,,,,
Implementing Lean Thinking   An Interview with William C. Kessler.,1999,806,,,,
"Organizational Rationality in Public, Private and Multinational Firms in Turkey.",2004,806,,,,
Knowledge based data center capacity reduction using sensitivity analysis on causal Bayesian belief network.,2013,806,,,,
Formulating Strategies for Building Excellence in Engineering Education.,2004,806,,,,
Exploring systems engineering patterns in government acquisition of complex information systems.,2013,806,,,,
Reform incentives to create a demand for health system reengineering.,2009,806,,,,
Knowledge Exchange and integrative research approach.,2012,806,,,,
TOP MODELER: Supporting Complex Strategic and Operational Decisionmaking.,2000,806,,,,
Process engineering: A necessary step to a better public health system.,2009,806,,,,
"The convergence of wireless, mobility, and the Internet and its relevance to enterprises.",2008,806,,,,
Systems engineering and management.,2009,806,,,,
Towards a Framework for Managing the Information Environment.,2001,806,,,,
Leveraging measurement systems to drive enterprise transformation: Two case studies from the U.S. aerospace industry.,2010,806,,,,
Causality and the law.,2011,806,,,,
Understanding and enhancing the dental delivery system.,2009,806,,,,
"Entropy: A unifying path for understanding complexity in natural, artificial and social systems.",2011,806,,,,
"Determining causality and dependency in loosely coupled, n dimensional social networks.",2011,806,,,,
Data Measures and Collection Points to Detect Traffic Condition Changes on Large Scale Computer Networks.,2004,806,,,,
Different models of work in the modern services enterpise.,2007,806,,,,
Naturalistic investigations and models of reasoning about complex indeterminate causation.,2011,806,,,,
Knowledge extraction from time series and its application to surface roughness simulation.,2006,806,,,,
An enterprise architecture methodology to address the Enterprise Dilemma.,2010,806,,,,
Plasticity and causal history in complex adaptive systems: The case of the human brain.,2011,806,,,,
Healthcare Costs or Investments?,2009,806,,,,
Mobile interaction design: Integrating individual and organizational perspectives.,2008,806,,,,
Engineering design of a service system: An empirical study.,2007,806,,,,
User requirements of mobile technology: A summary of research results.,2008,806,,,,
Enterprise alignment and inertia risks during transformation.,2012,806,,,,
